Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
27,16,0,0,0,0,0,0,2,9,4.5,0,9,6,57,9.5,0,0,0,0,7,12.6,218
27,3,1,0,0,0,0,0,18,48,2.67,0,4,4,18,4.5,0,0,0,0,7,10.6,538
24,15,0,0,0,0,0,0,0,0,,0,3,2,13,6.5,1,0,0,1,7,9.3,0
32,7,1,0,0,0,0,0,0,0,,0,15,8,67,8.38,0,0,0,0,7,14.7,176
26,14,0,0,0,0,0,0,10,20,2,0,3,2,14,7,1,1,1,1,7,9.4,0
23,5,0,0,0,0,0,0,0,0,,0,7,6,69,11.5,0,0,0,0,7,12.9,0
25,8,2,0,0,0,0,0,0,0,,0,13,9,74,8.22,0,1,1,0,7,16.4,382
24,16,14,0,0,0,0,0,0,0,,0,14,7,65,9.29,0,0,0,0,7,13.5,440
26,6,2,0,0,0,0,0,0,0,,0,17,13,65,5,0,0,0,0,7,19.5,295
28,3,1,0,0,0,0,0,17,51,3,0,7,5,22,4.4,0,1,0,0,7,12.3,202
25,16,0,0,0,0,0,0,8,60,7.5,0,1,1,6,6,0,0,0,0,7,7.6,367
29,2,0,27,51,359,0,3,2,-4,-2,0,0,0,0,,0,3,1,0,6,6,346
24,15,1,0,0,0,0,0,0,0,,0,10,8,58,7.25,0,0,0,0,6,13.8,411
26,3,0,5,11,49,0,0,7,41,5.86,0,0,0,0,,0,0,0,0,6,6.1,0
27,5,0,0,0,0,0,0,0,0,,0,10,4,61,15.25,0,0,0,0,6,10.1,0
23,7,2,0,0,0,0,0,0,0,,0,10,3,60,20,0,0,0,0,6,9,571
29,12,2,0,0,0,0,0,7,20,2.86,0,10,6,36,6,0,0,0,0,6,11.6,345
25,13,5,0,0,0,0,0,0,0,,0,17,6,56,9.33,0,0,0,0,6,11.6,0
30,8,0,4,6,33,1,0,10,7,0.7,0,1,0,0,,0,0,0,0,6,6,250
28,7,3,0,0,0,0,0,0,4,,0,8,4,57,14.25,0,0,0,0,6,10.1,602
25,12,2,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,1,6,6,608
23,6,3,0,0,0,0,0,0,0,,0,5,4,54,13.5,0,0,0,0,5,9.4,0
22,1,1,0,0,0,0,0,0,0,,0,4,2,48,24,0,0,0,0,5,6.8,370
26,12,1,0,0,0,0,0,13,27,2.08,0,8,7,22,3.14,0,0,0,0,5,11.9,115
30,16,4,0,0,0,0,0,3,7,2.33,0,7,5,41,8.2,0,0,0,0,5,9.8,420
24,3,1,0,0,0,0,0,30,91,3.03,0,4,3,1,0.33,0,2,2,0,5,8.2,0
